"","EVENT","Event","GeneID","geneSymbol","TP_1","TP_2","TP_3","TP_4","TP_5","TP_6","TP_7","TP_8","TP_9","TP_10","TP_11","TP_12","TP_13","TP_14","SCORE","seed"
"SUPT7L_chr2:-:27660983:27661601:27660983:27661388:27662178:27662281:10073","SUPT7L_chr2:-:27660983:27661601:27660983:27661388:27662178:27662281:10073","A3SS","ENSG00000119760.16","SUPT7L",0.229,0.18,0.167,0.279,0.172,0.293,0.265,0.218,0.145,0.207,0.266,0.257,0.181,0.21,2.437542662,"SEED6"
"IMMP1L_chr11:-:31463171:31463305:31447982:31449091:31509518:31509574:94446","IMMP1L_chr11:-:31463171:31463305:31447982:31449091:31509518:31509574:94446","SE","ENSG00000148950.11","IMMP1L",0.765,0.84,0.805,1,1,0.968,0.956,1,0.863,0.95,0.965,0.892,0.927,0.662,2.439,"SEED6"
"BCL2L11_chr2:+:111153779:111153904:111150043:111150147:111164132:111164231:55022","BCL2L11_chr2:+:111153779:111153904:111150043:111150147:111164132:111164231:55022","SE","ENSG00000153094.24","BCL2L11",0.333,0.451,0.431,0.373,0.496,0.517,0.42,0.353,0.363,0.347,0.571,0.507,0.429,0.417,2.439299475,"SEED6"
"OSBPL3_chr7:-:24815058:24815203:24816609:24816688:24809806:24809951:24820174:24820238:26317","OSBPL3_chr7:-:24815058:24815203:24816609:24816688:24809806:24809951:24820174:24820238:26317","MXE","ENSG00000070882.13","OSBPL3",0.361,0.417,0.431,0.453,0.458,0.546,0.515,0.403,0.455,0.461,0.501,0.468,0.423,0.303,2.440366298,"SEED6"
"KMT2D_chr12:-:49024052:49024100:49022542:49022875:49024577:49024708:164905","KMT2D_chr12:-:49024052:49024100:49022542:49022875:49024577:49024708:164905","SE","ENSG00000167548.18","KMT2D",0.196,0.244,0.223,0.198,0.283,0.306,0.226,0.19,0.229,0.2,0.255,0.273,0.162,0.174,2.441307188,"SEED6"
"MECOM_chr3:-:169143697:169143832:169381186:169381524:169131428:169131531:169663335:169663712:21878","MECOM_chr3:-:169143697:169143832:169381186:169381524:169131428:169131531:169663335:169663712:21878","MXE","ENSG00000085276.19","MECOM",0.152,0.13,0.129,0.21,0.19,0.272,0.141,0.302,0.151,0.198,0.184,0.314,0.192,0.172,2.44343949,"SEED6"
"KPNA5_chr6:+:116705071:116705160:116716218:116716318:116702018:116702150:116722125:116722289:20148","KPNA5_chr6:+:116705071:116705160:116716218:116716318:116702018:116702150:116722125:116722289:20148","MXE","ENSG00000196911.11","KPNA5",0.323,0.43,0.369,0.563,0.422,0.435,0.457,0.42,0.379,0.299,0.513,0.422,0.393,0.398,2.444724689,"SEED6"
"CCDC14_chr3:-:123955842:123955965:123956354:123956427:123948895:123949132:123956739:123956795:10737","CCDC14_chr3:-:123955842:123955965:123956354:123956427:123948895:123949132:123956739:123956795:10737","MXE","ENSG00000175455.16","CCDC14",0.358,0.3,0.424,0.429,0.428,0.532,0.369,0.394,0.444,0.496,0.426,0.445,0.382,0.407,2.446616542,"SEED6"
"VPS13B_chr8:+:99661353:99661491:99699524:99699932:99641810:99642498:99717170:99717373:28962","VPS13B_chr8:+:99661353:99661491:99699524:99699932:99641810:99642498:99717170:99717373:28962","MXE","ENSG00000132549.20","VPS13B",0.425,0.392,0.368,0.568,0.456,0.319,0.429,0.342,0.422,0.392,0.436,0.449,0.547,0.394,2.44697183,"SEED6"
"TBCE_chr1:+:235367412:235367552:235367412:235367504:235380018:235380149:5498","TBCE_chr1:+:235367412:235367552:235367412:235367504:235380018:235380149:5498","A5SS","ENSG00000284770.2","TBCE",0.039,0.02,0.068,0.107,0.078,0.063,0.085,0.075,0.034,0.01,0.051,0.171,0.053,0.032,2.447602339,"SEED6"
"RAPGEF2_chr4:+:159344035:159344059:159343280:159343404:159345105:159345329:78974","RAPGEF2_chr4:+:159344035:159344059:159343280:159343404:159345105:159345329:78974","SE","ENSG00000109756.10","RAPGEF2",0.361,0.395,0.385,0.503,0.429,0.433,0.356,0.449,0.338,0.253,0.433,0.354,0.415,0.318,2.448151093,"SEED6"
"CHTF8_chr16:-:69121052:69121170:69121435:69121493:69119810:69120649:69132088:69132146:4448","CHTF8_chr16:-:69121052:69121170:69121435:69121493:69119810:69120649:69132088:69132146:4448","MXE","ENSG00000168802.14","CHTF8",0.307,0.322,0.384,0.45,0.371,0.362,0.389,0.339,0.296,0.29,0.363,0.427,0.422,0.365,2.44888889,"SEED6"
"ENSG00000283761_chr1:+:99993536:99993741:100007033:100007156:99970010:99970162:100011364:100011533:15119","ENSG00000283761_chr1:+:99993536:99993741:100007033:100007156:99970010:99970162:100011364:100011533:15119","MXE","ENSG00000283761.1","ENSG00000283761",0.321,0.214,0.281,0.28,0.266,0.366,0.245,0.296,0.29,0.303,0.286,0.331,0.355,0.291,2.450273224,"SEED6"
"ANKRD28_chr3:-:15766233:15766312:15795222:15795306:15751749:15751820:15814239:15814309:24051","ANKRD28_chr3:-:15766233:15766312:15795222:15795306:15751749:15751820:15814239:15814309:24051","MXE","ENSG00000206560.12","ANKRD28",0.041,0.059,0.089,0.181,0.09,0.147,0.113,0.045,0.093,0.101,0.117,0.098,0.108,0.126,2.452154696,"SEED6"
"VPS54_chr2:-:63981645:63981851:63983863:63984019:63972165:63972244:64018937:64019072:26024","VPS54_chr2:-:63981645:63981851:63983863:63984019:63972165:63972244:64018937:64019072:26024","MXE","ENSG00000143952.20","VPS54",0.366,0.333,0.373,0.336,0.384,0.47,0.338,0.375,0.376,0.348,0.476,0.264,0.542,0.388,2.452767528,"SEED6"
"DIP2B_chr12:+:50625975:50626047:50640723:50640852:50504984:50505240:50660193:50660319:34895","DIP2B_chr12:+:50625975:50626047:50640723:50640852:50504984:50505240:50660193:50660319:34895","MXE","ENSG00000066084.13","DIP2B",0.183,0.191,0.214,0.212,0.206,0.256,0.149,0.14,0.226,0.2,0.34,0.305,0.249,0.301,2.452941176,"SEED6"
"INO80_chr15:-:41055246:41055364:41058638:41058781:41053928:41054014:41059866:41059926:5842","INO80_chr15:-:41055246:41055364:41058638:41058781:41053928:41054014:41059866:41059926:5842","MXE","ENSG00000128908.18","INO80",0.468,0.403,0.467,0.477,0.483,0.52,0.343,0.398,0.454,0.486,0.454,0.455,0.543,0.384,2.453038674,"SEED6"
"SLC29A2_chr11:-:66366125:66366231:66366430:66366564:66365935:66366021:66367463:66367548:35316","SLC29A2_chr11:-:66366125:66366231:66366430:66366564:66365935:66366021:66367463:66367548:35316","MXE","ENSG00000174669.12","SLC29A2",0.376,0.378,0.323,0.393,0.438,0.422,0.433,0.375,0.419,0.457,0.494,0.49,0.377,0.397,2.453927126,"SEED6"
"SCAI_chr9:-:125065989:125066058:125055875:125056007:125142632:125142677:145724","SCAI_chr9:-:125065989:125066058:125055875:125056007:125142632:125142677:145724","SE","ENSG00000173611.18","SCAI",0.161,0.318,0.298,0.36,0.416,0.361,0.512,0.334,0.249,0.312,0.212,0.431,0.326,0.224,2.45484375,"SEED6"
"DHRS13_chr17:-:28901492:28901616:28902582:28902701:28900989:28901301:28902817:28903079:3778","DHRS13_chr17:-:28901492:28901616:28902582:28902701:28900989:28901301:28902817:28903079:3778","MXE","ENSG00000167536.14","DHRS13",0.165,0.222,0.203,0.242,0.298,0.165,0.195,0.121,0.066,0.167,0.19,0.256,0.331,0.213,2.454924472,"SEED6"
"ANKEF1_chr20:+:10035578:10035642:10034986:10035333:10038257:10038647:13896","ANKEF1_chr20:+:10035578:10035642:10034986:10035333:10038257:10038647:13896","SE","ENSG00000132623.16","ANKEF1",0.257,0.125,0.193,0.218,0.23,0.221,0.2,0.23,0.167,0.202,0.192,0.186,0.251,0.149,2.455953308,"SEED6"
"TTC19_chr17:+:16000117:16000245:16001914:16002025:15999823:16000032:16002792:16002831:3870","TTC19_chr17:+:16000117:16000245:16001914:16002025:15999823:16000032:16002792:16002831:3870","MXE","ENSG00000011295.16","TTC19",0.074,0.058,0.119,0.103,0.073,0.139,0.047,0.062,0.088,0.071,0.131,0.095,0.175,0.114,2.457142856,"SEED6"
"PAK4_chr19:+:39168229:39168312:39168229:39168302:39169531:39169757:737","PAK4_chr19:+:39168229:39168312:39168229:39168302:39169531:39169757:737","A5SS","ENSG00000130669.17","PAK4",0.391,0.343,0.412,0.496,0.433,0.433,0.287,0.358,0.451,0.422,0.433,0.401,0.453,0.439,2.458064514,"SEED6"
"TMC6_chr17:-:78121012:78121164:78121555:78121711:78120176:78120832:78122604:78122749:15027","TMC6_chr17:-:78121012:78121164:78121555:78121711:78120176:78120832:78122604:78122749:15027","MXE","ENSG00000141524.18","TMC6",0.216,0.351,0.377,0.365,0.367,0.356,0.309,0.318,0.305,0.403,0.442,0.279,0.442,0.392,2.458099548,"SEED6"
"TMEM107_chr17:-:8175958:8176026:8174002:8174272:8176199:8176316:19718","TMEM107_chr17:-:8175958:8176026:8174002:8174272:8176199:8176316:19718","SE","ENSG00000179029.15","TMEM107",0.357,0.349,0.509,0.461,0.421,0.497,0.433,0.534,0.38,0.49,0.509,0.59,0.516,0.471,2.458644069,"SEED6"
"LMO7_chr13:+:75713181:75713252:75636322:75636726:75727028:75727098:72859","LMO7_chr13:+:75713181:75713252:75636322:75636726:75727028:75727098:72859","SE","ENSG00000136153.20","LMO7",0.853,0.643,0.923,0.906,0.866,0.946,0.744,0.777,0.862,0.861,0.887,0.916,0.892,0.879,2.45961945,"SEED6"
"PILRB_chr7:+:100353894:100354012:100353209:100353270:100355142:100355240:103464","PILRB_chr7:+:100353894:100354012:100353209:100353270:100355142:100355240:103464","SE","ENSG00000121716.21","PILRB",0.453,0.605,0.585,0.687,0.623,0.693,0.619,0.711,0.618,0.653,0.72,0.594,0.598,0.592,2.460833335,"SEED6"
"OSBPL3_chr7:-:24815058:24815203:24820174:24820238:24809806:24809951:24830767:24830905:26318","OSBPL3_chr7:-:24815058:24815203:24820174:24820238:24809806:24809951:24830767:24830905:26318","MXE","ENSG00000070882.13","OSBPL3",0.311,0.324,0.395,0.358,0.43,0.462,0.444,0.381,0.374,0.386,0.435,0.42,0.35,0.242,2.462510822,"SEED6"
"ATP7A_chrX:+:77922998:77923052:77962622:77962814:77910739:77910835:77971620:77971761:31402","ATP7A_chrX:+:77922998:77923052:77962622:77962814:77910739:77910835:77971620:77971761:31402","MXE","ENSG00000165240.22","ATP7A",0.039,0.121,0.064,0.093,0.151,0.093,0.057,0.136,0.051,0.039,0.105,0.195,0.062,0.068,2.462564103,"SEED6"
"SLC35B1_chr17:-:49705865:49706309:49706964:49707068:49705123:49705281:49707342:49707444:15685","SLC35B1_chr17:-:49705865:49706309:49706964:49707068:49705123:49705281:49707342:49707444:15685","MXE","ENSG00000121073.15","SLC35B1",0.109,0.102,0.141,0.079,0.165,0.173,0.138,0.161,0.161,0.124,0.198,0.177,0.223,0.163,2.463318384,"SEED6"
"COP1_chr1:-:176149005:176149074:176162868:176162988:176135009:176135086:176163826:176163891:12621","COP1_chr1:-:176149005:176149074:176162868:176162988:176135009:176135086:176163826:176163891:12621","MXE","ENSG00000143207.21","COP1",0.486,0.406,0.492,0.557,0.543,0.535,0.536,0.487,0.508,0.624,0.496,0.642,0.49,0.487,2.463426793,"SEED6"
"RASA3_chr13:-:114052051:114052155:114073719:114073837:114040999:114041094:114132434:114132623:36337","RASA3_chr13:-:114052051:114052155:114073719:114073837:114040999:114041094:114132434:114132623:36337","MXE","ENSG00000185989.11","RASA3",0.271,0.429,0.379,0.324,0.424,0.379,0.36,0.349,0.34,0.444,0.503,0.374,0.461,0.444,2.464015906,"SEED6"
"ANKRD28_chr3:-:15766233:15766312:15795222:15795306:15751749:15751820:15859376:15859422:24052","ANKRD28_chr3:-:15766233:15766312:15795222:15795306:15751749:15751820:15859376:15859422:24052","MXE","ENSG00000206560.12","ANKRD28",0.251,0.249,0.238,0.378,0.241,0.206,0.274,0.314,0.261,0.302,0.31,0.307,0.358,0.313,2.464444445,"SEED6"
"KDM5A_chr12:-:286125:286207:285455:285662:292758:292925:86381","KDM5A_chr12:-:286125:286207:285455:285662:292758:292925:86381","SE","ENSG00000073614.13","KDM5A",0.32,0.297,0.294,0.332,0.375,0.314,0.204,0.139,0.254,0.292,0.283,0.262,0.239,0.239,2.465333334,"SEED6"
"DENND1A_chr9:-:123757702:123757822:123792586:123792630:123676719:123676789:123878950:123879021:23111","DENND1A_chr9:-:123757702:123757822:123792586:123792630:123676719:123676789:123878950:123879021:23111","MXE","ENSG00000119522.17","DENND1A",0.25,0.295,0.359,0.331,0.345,0.304,0.305,0.326,0.33,0.312,0.352,0.358,0.387,0.305,2.465633076,"SEED6"
"SCAF1_chr19:+:49645020:49645134:49645353:49645411:49642208:49642242:49646107:49646202:1747","SCAF1_chr19:+:49645020:49645134:49645353:49645411:49642208:49642242:49646107:49646202:1747","MXE","ENSG00000126461.15","SCAF1",0.155,0.143,0.179,0.165,0.222,0.125,0.158,0.149,0.121,0.22,0.224,0.171,0.223,0.215,2.466785714,"SEED6"
"ZC3H11A_chr1:+:203802956:203803016:203816925:203817124:203801574:203801628:203818569:203818665:12333","ZC3H11A_chr1:+:203802956:203803016:203816925:203817124:203801574:203801628:203818569:203818665:12333","MXE","ENSG00000058673.17","ZC3H11A",0.146,0.213,0.213,0.137,0.296,0.247,0.208,0.17,0.163,0.188,0.152,0.264,0.143,0.115,2.467702703,"SEED6"
"RAD51C_chr17:+:58703195:58703329:58709858:58709990:58696692:58696859:58720745:58720812:3344","RAD51C_chr17:+:58703195:58703329:58709858:58709990:58696692:58696859:58720745:58720812:3344","MXE","ENSG00000108384.15","RAD51C",0.375,0.422,0.384,0.404,0.449,0.4,0.377,0.415,0.352,0.443,0.457,0.375,0.473,0.291,2.468752643,"SEED6"
"NLRC5_chr16:+:57079545:57079629:57081526:57081610:57079220:57079292:57082416:57082597:4615","NLRC5_chr16:+:57079545:57079629:57081526:57081610:57079220:57079292:57082416:57082597:4615","MXE","ENSG00000140853.17","NLRC5",0.42,0.37,0.461,0.381,0.412,0.467,0.231,0.434,0.449,0.455,0.443,0.684,0.5,0.371,2.469005847,"SEED6"
"U2AF1L4_chr19:-:35742528:35743904:35742528:35742803:35743808:35743904:9345","U2AF1L4_chr19:-:35742528:35743904:35742528:35742803:35743808:35743904:9345","RI","ENSG00000161265.15","U2AF1L4",0.16,0.116,0.122,0.174,0.158,0.27,0.091,0.182,0.14,0.133,0.246,0.184,0.2,0.205,2.471851852,"SEED6"
"REPIN1_chr7:+:150370713:150370884:150369643:150369868:150371227:150371655:131901","REPIN1_chr7:+:150370713:150370884:150369643:150369868:150371227:150371655:131901","SE","ENSG00000214022.12","REPIN1",0.145,0.196,0.23,0.2,0.244,0.291,0.213,0.185,0.297,0.31,0.214,0.263,0.307,0.229,2.472258065,"SEED6"
"PARD3_chr10:-:34269656:34269899:34284134:34284245:34131462:34131583:34317106:34317338:31479","PARD3_chr10:-:34269656:34269899:34284134:34284245:34131462:34131583:34317106:34317338:31479","MXE","ENSG00000148498.17","PARD3",0.321,0.231,0.357,0.41,0.336,0.33,0.297,0.223,0.254,0.326,0.356,0.288,0.33,0.398,2.472682926,"SEED6"
"WDR47_chr1:-:108981732:108981864:108982608:108982779:108974535:108974754:108983281:108983451:18829","WDR47_chr1:-:108981732:108981864:108982608:108982779:108974535:108974754:108983281:108983451:18829","MXE","ENSG00000085433.17","WDR47",0.504,0.455,0.596,0.571,0.593,0.615,0.574,0.526,0.564,0.632,0.587,0.546,0.572,0.564,2.473227848,"SEED6"
"EXTL2_chr1:-:100878393:100878447:100877518:100877903:100888752:100888864:86921","EXTL2_chr1:-:100878393:100878447:100877518:100877903:100888752:100888864:86921","SE","ENSG00000162694.14","EXTL2",0.061,0.118,0.073,0.102,0.075,0.119,0.054,0.064,0.094,0.047,0.091,0.164,0.072,0.047,2.47487805,"SEED6"
"BRPF1_chr3:+:9745572:9745930:9745572:9745709:9745811:9745930:3116","BRPF1_chr3:+:9745572:9745930:9745572:9745709:9745811:9745930:3116","RI","ENSG00000156983.17","BRPF1",0.246,0.29,0.293,0.316,0.377,0.37,0.403,0.314,0.238,0.282,0.346,0.351,0.339,0.287,2.474937967,"SEED6"
"CENPC_chr4:-:67492750:67492997:67492868:67492997:67492179:67492275:3147","CENPC_chr4:-:67492750:67492997:67492868:67492997:67492179:67492275:3147","A5SS","ENSG00000145241.11","CENPC",0.055,0.117,0.072,0.113,0.127,0.159,0.065,0.088,0.117,0.086,0.079,0.126,0.084,0.083,2.475345912,"SEED6"
"PARD3_chr10:-:34347955:34348115:34347964:34348115:34341626:34341816:9904","PARD3_chr10:-:34347955:34348115:34347964:34348115:34341626:34341816:9904","A5SS","ENSG00000148498.17","PARD3",0.166,0.184,0.265,0.247,0.243,0.204,0.242,0.237,0.169,0.221,0.193,0.346,0.299,0.183,2.477109825,"SEED6"
"SPTBN1_chr2:+:54599091:54599243:54612160:54612334:54558393:54558887:54616206:54616298:31399","SPTBN1_chr2:+:54599091:54599243:54612160:54612334:54558393:54558887:54616206:54616298:31399","MXE","ENSG00000115306.16","SPTBN1",0.275,0.35,0.358,0.37,0.367,0.393,0.36,0.367,0.307,0.361,0.355,0.356,0.383,0.357,2.480254453,"SEED6"
"MIPOL1_chr14:+:37422854:37422949:37499907:37500138:37369516:37369624:37546904:37547527:36629","MIPOL1_chr14:+:37422854:37422949:37499907:37500138:37369516:37369624:37546904:37547527:36629","MXE","ENSG00000151338.20","MIPOL1",0.3,0.358,0.489,0.477,0.41,0.488,0.386,0.479,0.391,0.333,0.489,0.436,0.417,0.328,2.481390593,"SEED6"
"FIG4_chr6:+:109716444:109716568:109727108:109727265:109715077:109715176:109732636:109732687:25225","FIG4_chr6:+:109716444:109716568:109727108:109727265:109715077:109715176:109732636:109732687:25225","MXE","ENSG00000112367.12","FIG4",0.59,0.468,0.587,0.786,0.63,0.714,0.621,0.46,0.612,0.662,0.593,0.537,0.598,0.67,2.482239186,"SEED6"
"SSBP3_chr1:-:54257126:54257186:54258068:54258149:54251793:54251860:54281437:54281527:19929","SSBP3_chr1:-:54257126:54257186:54258068:54258149:54251793:54251860:54281437:54281527:19929","MXE","ENSG00000157216.16","SSBP3",0.115,0.126,0.185,0.162,0.169,0.175,0.118,0.131,0.104,0.14,0.137,0.082,0.153,0.148,2.482702705,"SEED6"
"SLC2A8_chr9:+:127399906:127400006:127403659:127403803:127397137:127397286:127403958:127404067:30779","SLC2A8_chr9:+:127399906:127400006:127403659:127403803:127397137:127397286:127403958:127404067:30779","MXE","ENSG00000136856.18","SLC2A8",0.261,0.29,0.313,0.337,0.304,0.314,0.267,0.268,0.249,0.2,0.313,0.278,0.339,0.316,2.483067846,"SEED6"
"RSRC2_chr12:-:122520503:122520581:122518838:122519029:122521384:122521428:169337","RSRC2_chr12:-:122520503:122520581:122518838:122519029:122521384:122521428:169337","SE","ENSG00000111011.18","RSRC2",0.117,0.135,0.153,0.178,0.184,0.197,0.094,0.1,0.108,0.099,0.126,0.147,0.096,0.088,2.483147207,"SEED6"
"AFG3L1P_chr16:+:89978809:89978878:89980241:89980336:89977638:89977802:89981772:89981923:4189","AFG3L1P_chr16:+:89978809:89978878:89980241:89980336:89977638:89977802:89981772:89981923:4189","MXE","ENSG00000223959.9","AFG3L1P",0.316,0.373,0.293,0.584,0.377,0.451,0.354,0.255,0.315,0.314,0.374,0.442,0.256,0.335,2.48431507,"SEED6"
"ADGRL1_chr19:-:14167015:14167030:14162605:14163406:14170681:14170734:167331","ADGRL1_chr19:-:14167015:14167030:14162605:14163406:14170681:14170734:167331","SE","ENSG00000072071.17","ADGRL1",0.136,0.091,0.117,0.178,0.263,0.267,0.088,0.105,0.146,0.233,0.121,0.171,0.107,0.105,2.485168538,"SEED6"
"TBRG1_chr11:+:124626472:124626609:124625670:124625903:124626903:124627050:162187","TBRG1_chr11:+:124626472:124626609:124625670:124625903:124626903:124627050:162187","SE","ENSG00000154144.13","TBRG1",0.342,0.204,0.329,0.317,0.333,0.233,0.222,0.227,0.234,0.299,0.347,0.267,0.367,0.28,2.485231607,"SEED6"
"PSRC1_chr1:-:109282679:109282789:109282679:109282731:109283062:109283147:7173","PSRC1_chr1:-:109282679:109282789:109282679:109282731:109283062:109283147:7173","A3SS","ENSG00000134222.16","PSRC1",0.291,0.327,0.384,0.488,0.387,0.508,0.465,0.405,0.467,0.408,0.338,0.54,0.461,0.544,2.485955883,"SEED6"
"STXBP2_chr19:+:7647161:7647511:7647161:7647247:7647353:7647511:4700","STXBP2_chr19:+:7647161:7647511:7647161:7647247:7647353:7647511:4700","RI","ENSG00000076944.17","STXBP2",0.064,0.107,0.086,0.166,0.084,0.097,0.093,0.091,0.08,0.085,0.09,0.121,0.155,0.129,2.486506024,"SEED6"
"UBXN2A_chr2:+:23958300:23958355:23971275:23971414:23940462:23940648:23976968:23977075:21105","UBXN2A_chr2:+:23958300:23958355:23971275:23971414:23940462:23940648:23976968:23977075:21105","MXE","ENSG00000173960.14","UBXN2A",0.359,0.346,0.388,0.485,0.487,0.529,0.456,0.407,0.426,0.451,0.402,0.397,0.411,0.428,2.486654064,"SEED6"
"OXR1_chr8:+:106692727:106692877:106702905:106703090:106684245:106684359:106706381:106706982:31677","OXR1_chr8:+:106692727:106692877:106702905:106703090:106684245:106684359:106706381:106706982:31677","MXE","ENSG00000164830.19","OXR1",0.573,0.594,0.647,0.75,0.737,0.72,0.676,0.726,0.644,0.533,0.689,0.726,0.633,0.64,2.486666667,"SEED6"
"HMGN1_chr21:-:39347378:39347483:39345829:39347292:39348291:39348339:4831","HMGN1_chr21:-:39347378:39347483:39345829:39347292:39348291:39348339:4831","SE","ENSG00000205581.11","HMGN1",0.543,0.419,0.531,0.517,0.615,0.62,0.564,0.577,0.614,0.581,0.594,0.737,0.54,0.449,2.486729986,"SEED6"
"C21orf58_chr21:-:46317207:46317348:46317207:46317268:46318011:46318220:512","C21orf58_chr21:-:46317207:46317348:46317207:46317268:46318011:46318220:512","A3SS","ENSG00000160298.18","C21orf58",0.29,0.427,0.488,0.612,0.341,0.58,0.453,0.428,0.371,0.365,0.428,0.525,0.424,0.509,2.487385621,"SEED6"
"ABTB2_chr11:-:34173154:34173307:34197324:34197538:34170905:34171071:34204543:34204690:25402","ABTB2_chr11:-:34173154:34173307:34197324:34197538:34170905:34171071:34204543:34204690:25402","MXE","ENSG00000166016.6","ABTB2",0.225,0.414,0.331,0.416,0.366,0.341,0.328,0.333,0.333,0.4,0.361,0.377,0.332,0.299,2.488076924,"SEED6"
"FAM118B_chr11:+:126229224:126229293:126240791:126241044:126211765:126211830:126250505:126250733:36028","FAM118B_chr11:+:126229224:126229293:126240791:126241044:126211765:126211830:126250505:126250733:36028","MXE","ENSG00000197798.9","FAM118B",0.163,0.125,0.129,0.185,0.184,0.163,0.12,0.209,0.101,0.153,0.126,0.162,0.221,0.141,2.488506785,"SEED6"
"ARID4A_chr14:+:58360900:58361042:58364169:58365300:58359131:58359216:58365517:58365622:36766","ARID4A_chr14:+:58360900:58361042:58364169:58365300:58359131:58359216:58365517:58365622:36766","MXE","ENSG00000032219.19","ARID4A",0.524,0.489,0.541,0.614,0.518,0.509,0.548,0.394,0.555,0.578,0.5,0.661,0.63,0.557,2.488562785,"SEED6"
"TNK2_chr3:-:195867168:195867258:195866888:195867016:195867360:195868709:57525","TNK2_chr3:-:195867168:195867258:195866888:195867016:195867360:195868709:57525","SE","ENSG00000061938.21","TNK2",0.632,0.595,0.703,0.847,0.656,0.83,0.587,0.68,0.751,0.771,0.719,0.821,0.769,0.673,2.489067296,"SEED6"
"ATM_chr11:+:108331878:108332037:108332761:108332900:108331443:108331557:108333885:108333968:32135","ATM_chr11:+:108331878:108332037:108332761:108332900:108331443:108331557:108333885:108333968:32135","MXE","ENSG00000149311.20","ATM",0.51,0.5,0.537,0.514,0.574,0.571,0.485,0.442,0.447,0.571,0.553,0.419,0.57,0.379,2.489756099,"SEED6"
"TMEM190_chr19:+:55376990:55377026:55377592:55377718:55376825:55376911:55377801:55377886:35783","TMEM190_chr19:+:55376990:55377026:55377592:55377718:55376825:55376911:55377801:55377886:35783","MXE","ENSG00000160472.5","TMEM190",0.136,0.162,0.167,0.151,0.253,0.263,0.236,0.196,0.273,0.203,0.192,0.18,0.262,0.168,2.49040293,"SEED6"
"AP2A2_chr11:+:985431:985582:985434:985582:984644:984753:12077","AP2A2_chr11:+:985431:985582:985434:985582:984644:984753:12077","A3SS","ENSG00000183020.15","AP2A2",0.198,0.261,0.232,0.325,0.272,0.269,0.24,0.242,0.224,0.193,0.242,0.344,0.256,0.277,2.490813954,"SEED6"
"LARP1B_chr4:+:128091000:128091144:128091346:128091512:128077787:128077962:128098185:128098330:8593","LARP1B_chr4:+:128091000:128091144:128091346:128091512:128077787:128077962:128098185:128098330:8593","MXE","ENSG00000138709.19","LARP1B",0.107,0.19,0.157,0.144,0.18,0.233,0.243,0.182,0.143,0.23,0.197,0.314,0.158,0.108,2.491082802,"SEED6"
"DENND1A_chr9:-:123757702:123757822:123769513:123769563:123676719:123676789:123792586:123792630:23110","DENND1A_chr9:-:123757702:123757822:123769513:123769563:123676719:123676789:123792586:123792630:23110","MXE","ENSG00000119522.17","DENND1A",0.254,0.309,0.313,0.394,0.35,0.406,0.315,0.341,0.311,0.269,0.253,0.368,0.372,0.271,2.491428571,"SEED6"
"KIAA1109_chr4:+:122226706:122226835:122224476:122224677:122229120:122229240:112712","KIAA1109_chr4:+:122226706:122226835:122224476:122224677:122229120:122229240:112712","SE","ENSG00000138688.17","KIAA1109",0.438,0.443,0.686,0.723,0.621,0.6,0.506,0.509,0.5,0.532,0.532,0.538,0.646,0.547,2.491452283,"SEED6"
"PTPN13_chr4:+:86753008:86753065:86758259:86758349:86751026:86751124:86758677:86758785:15187","PTPN13_chr4:+:86753008:86753065:86758259:86758349:86751026:86751124:86758677:86758785:15187","MXE","ENSG00000163629.13","PTPN13",0.144,0.29,0.252,0.257,0.265,0.293,0.155,0.157,0.181,0.23,0.231,0.196,0.192,0.207,2.491467575,"SEED6"
"C11orf49_chr11:+:47161126:47162247:47161126:47161190:47161463:47162247:5389","C11orf49_chr11:+:47161126:47162247:47161126:47161190:47161463:47162247:5389","RI","ENSG00000149179.14","C11orf49",0.139,0.139,0.201,0.221,0.17,0.253,0.232,0.221,0.184,0.23,0.261,0.221,0.201,0.247,2.494022989,"SEED6"
"COL25A1_chr4:-:108918171:108918216:108920577:108920604:108901118:108901172:108937807:108937843:8791","COL25A1_chr4:-:108918171:108918216:108920577:108920604:108901118:108901172:108937807:108937843:8791","MXE","ENSG00000188517.17","COL25A1",0.198,0.343,0.266,0.302,0.327,0.347,0.233,0.313,0.339,0.209,0.359,0.289,0.342,0.264,2.494986072,"SEED6"
"NCOR2_chr12:-:124372021:124372610:124385744:124385887:124363678:124363799:124398118:124398181:35708","NCOR2_chr12:-:124372021:124372610:124385744:124385887:124363678:124363799:124398118:124398181:35708","MXE","ENSG00000196498.13","NCOR2",0.272,0.309,0.322,0.391,0.353,0.344,0.379,0.325,0.377,0.343,0.413,0.424,0.31,0.37,2.495849056,"SEED6"
"SETD5_chr3:+:9433369:9433562:9428822:9429009:9433844:9433878:91127","SETD5_chr3:+:9433369:9433562:9428822:9429009:9433844:9433878:91127","SE","ENSG00000168137.20","SETD5",0.538,0.596,0.579,0.627,0.598,0.627,0.603,0.56,0.568,0.446,0.769,0.732,0.571,0.662,2.496697009,"SEED6"
"PARPBP_chr12:+:102195311:102195447:102182548:102182627:102195950:102196429:36778","PARPBP_chr12:+:102195311:102195447:102182548:102182627:102195950:102196429:36778","SE","ENSG00000185480.12","PARPBP",0.329,0.354,0.485,0.493,0.632,0.5,0.482,0.424,0.444,0.344,0.4,0.395,0.447,0.288,2.499177216,"SEED6"
